y,z0,z1
5,-29.6822,-6.819682
5,-29.232758,-5.9053674
5,-29.48194,-7.104172
5,-29.33525,-6.5069246
5,-29.786003,-6.81092
5,-29.11981,-6.0260315
5,-29.107796,-6.496328
5,-29.172035,-7.4021206
5,-29.403414,-7.143443
5,-29.53722,-3.1527958
5,-29.50188,-3.0420616
5,-29.484224,-2.6464403
5,-29.716753,-3.2135928
5,-29.094105,-3.0206275
5,-29.188877,-2.9230466
5,-29.459925,-5.144653
5,-29.418081,-4.6761312
5,-29.701557,-5.0586853
5,-29.322065,-4.636954
5,-29.462027,-5.193497
5,-29.594608,-4.665371
5,-29.659395,-5.6860094
5,-29.699493,-5.860833
5,-29.343052,-5.7946014
5,-29.381119,-5.7609444
5,-29.725378,-5.4451394
5,-29.343632,-4.089175
5,-29.345385,-4.2607136
5,-29.433128,-4.1259365
5,-29.53111,-3.9712498
5,-28.471085,-4.7818413
5,-29.332565,-4.094129
5,-29.651453,-3.9085898
5,-29.489449,-4.240199
5,-29.496365,-4.212696
5,-29.246473,-4.2450743
5,-29.083393,-3.913745
5,-28.752745,-4.065362
5,-29.172321,-3.8333519
5,-29.439264,-3.867166
5,-29.230698,-4.237236
5,-29.263994,-4.1563163
5,-29.693436,-4.200999
5,-29.37334,-4.4124193
5,-29.554152,-4.056694
5,-29.634539,-4.004458
5,-29.43315,-3.880481
5,-29.436872,-5.136216
5,-29.550735,-5.138751
5,-29.391459,-5.485243
5,-28.833885,-5.207387
5,-29.43132,-5.390388
5,-28.602541,-4.6111145
5,-29.771015,-3.6161892
5,-29.412153,-3.9983137
5,-29.41601,-4.2567725
5,-29.482758,-4.1938643
5,-28.78735,-4.388475
5,-29.418472,-4.415533
5,-29.44833,-4.4911733
5,-29.356842,-3.6535003
5,-29.175371,-3.9104226
5,-29.554726,-3.9216971
5,-28.876633,-4.2250395
5,-29.646719,-4.0129647
5,-29.587626,-4.346341
5,-29.574894,-4.1868286
5,-29.231224,-4.0980597
5,-29.023708,-5.2198462
5,-28.988182,-4.280406
5,-29.851768,-4.0832486
5,-29.563883,-4.063662
5,-29.26726,-4.135835
5,-29.51713,-4.264056
5,-29.646645,-4.2034945
5,-29.644175,-3.7042468
5,-29.47096,-4.073461
5,-29.366875,-3.9863849
5,-29.528646,-3.8708994
5,-29.282286,-3.8718722
5,-28.993155,-4.5186677
5,-29.424849,-4.25938
5,-29.670048,-4.164173
5,-29.964724,-3.0259259
5,-29.30964,-3.1226473
5,-29.33525,-3.0762691
5,-29.380083,-8.270901
5,-29.557428,-7.709939
5,-29.47737,-8.231732
5,-29.024307,-7.714913
5,-29.783968,-7.937378
5,-29.618736,-7.964787
5,-29.307804,-8.008128
5,-29.365194,-6.644018
5,-29.498314,-6.3552966
5,-29.616327,-7.2049856
5,-29.78822,-6.67095
5,-29.406775,-7.4648614
5,-29.319815,-6.345369
5,-29.29257,-7.284908
5,-29.152134,-6.365852
5,-29.792854,-6.723326
5,-29.506027,-6.594978
5,-29.36314,-7.6391187
5,-29.444923,-7.6009426
5,-29.803783,-7.035449
5,-29.604126,-7.1716485
5,-29.216843,-7.099007
5,-29.427477,-6.813356
5,-29.346806,-6.627255
5,-29.306469,-7.044812
5,-29.160862,-7.60972
5,-29.568419,-7.8132567
5,-29.277027,-8.078771
5,-29.326164,-7.575112
1,-29.327799,-4.393247
1,-29.698776,-4.722118
1,-29.456125,-4.617735
1,-29.264805,-8.132626
1,-29.698687,-8.170814
1,-29.44061,-8.1966915
1,-29.411625,-7.9093294
1,-29.61348,-3.8997
1,-29.568949,-4.402826
1,-29.44708,-4.383998
1,-29.54272,-4.241996
1,-29.356228,-4.947881
1,-29.781742,-4.271173
1,-29.349241,-4.5647135
1,-29.818523,-4.497394
1,-29.180353,-4.478524
1,-29.468979,-4.4426594
1,-29.642397,-4.7750854
1,-29.265423,-4.0939918
1,-29.194487,-4.5284224
1,-29.691534,-4.120754
1,-29.997154,-4.575974
1,-29.526237,-4.634754
1,-29.655321,-4.4777875
1,-29.583961,-4.8722825
1,-29.598766,-4.289599
1,-29.241995,-4.384399
5,-29.523685,-5.159401
5,-29.652506,-5.174571
5,-29.476967,-5.2683983
5,-29.55474,-5.320126
5,-29.30196,-5.22353
5,-29.278547,-4.9934716
5,-29.379358,-5.5837374
5,-29.530718,-5.517978
5,-29.32585,-5.385737
5,-29.582232,-4.9292974
5,-29.48108,-4.744856
5,-29.39675,-5.026682
5,-29.350872,-4.98591
5,-29.507187,-4.877493
5,-29.566402,-5.2797036
5,-29.656939,-4.527821
5,-29.238747,-4.7682333
5,-28.692713,-4.513315
5,-29.580252,-5.076192
5,-29.441193,-5.1875095
5,-29.54915,-5.6778126
5,-29.400406,-5.5194864
5,-28.959328,-5.178161
5,-29.687174,-5.7698216
5,-29.421824,-5.1320086
5,-29.51116,-5.5635214
5,-29.540123,-5.4173813
5,-29.1916,-9.711525
5,-29.191853,-9.529712
5,-29.214527,-9.509995
5,-29.322716,-9.697329
5,-29.332682,-9.5205345
5,-29.32319,-9.470237
5,-29.396627,-9.400793
5,-29.272552,-9.847086
5,-29.438068,-9.572749
5,-29.409647,-8.21885
5,-29.460686,-9.609918
